kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max,abs_vol_max,vix_max,require_slope,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,er_min,er_cash,rsi_n,rsi_max,macd_pos,sizing,target_vol,max_leverage,min_weight,tecl_w,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_XLK,core,vol_max_v,v_xlk,v_tecl,use_credit
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,,,,14,75,False,fixed,,1.0,0.0,0.75,1.0,0.2465098552496241,-0.2901298613898805,0.9740745578836507,0.8496535105649148,0.35369643216110513,-0.2397304538257704,1.0472790545841892,1.4753921603058495,0.2885667878210436,-0.2901298613898805,1.008475392507596,0.9946125036514721,9.17710925130061,0.2772747508571661,0.2522053833974214,0.5102917891879665,0.23750282741461207,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,,,,14,75,False,fixed,,1.0,0.0,0.8,0.7,0.25570276228485245,-0.2846312958943228,0.9769695361647918,0.8983648880964556,0.3600503148487595,-0.2672482939424242,1.0519100978827505,1.3472501902157268,0.2969733895368054,-0.2846312958943228,1.0129290157194375,1.0433616886846657,9.17710925130061,0.2844944504630336,0.2522053833974214,0.5102917891879665,0.23750282741461207,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,,,,14,75,False,fixed,,1.0,0.0,0.8,1.0,0.2607723112295601,-0.29870750472601837,0.975745530150318,0.8730022081927493,0.371865572833354,-0.2567697040586121,1.0497397669695816,1.4482455171131454,0.304461314539459,-0.29870750472601837,1.0106448859719002,1.0192623543848294,9.17710925130061,0.29339699009035225,0.2522053833974214,0.5102917891879665,0.23750282741461207,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,,,,14,75,False,fixed,,1.0,0.0,0.85,0.7,0.2693983602512271,-0.30263321010852584,0.9760059708310447,0.8901810880392784,0.3775057880276962,-0.2838278568931145,1.0507536333357816,1.3300519271082663,0.3122515398218504,-0.30263321010852584,1.0119593680662795,1.031782135575522,9.17710925130061,0.30121752022745657,0.2522053833974214,0.5102917891879665,0.23750282741461207,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,,,,14,75,False,fixed,,1.0,0.0,0.85,1.0,0.27485856307546697,-0.3072891112884687,0.976943785369474,0.8944624231004481,0.38977985691317785,-0.27351063400154896,1.0514493313542028,1.4250994603411669,0.32015419866011596,-0.3072891112884687,1.012197193768385,1.0418663951927998,9.17710925130061,0.30963886333017465,0.2522053833974214,0.5102917891879665,0.23750282741461207,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,,,,14,75,False,fixed,,1.0,0.0,0.9,0.7,0.28290150945036263,-0.3204214056552369,0.9750205265352841,0.8829045265307759,0.39468421396344366,-0.3001136046191336,1.049485720614021,1.3151160356903084,0.3273094102817764,-0.3204214056552369,1.0109195296713762,1.0214967056038409,9.17710925130061,0.3179947969972758,0.2522053833974214,0.5102917891879665,0.23750282741461207,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,,,,14,75,False,fixed,,1.0,0.0,0.9,1.0,0.2887586706910841,-0.31586334187409404,0.9777837740024976,0.9141886139043823,0.40742238116175233,-0.28995661451341004,1.0525832064743255,1.4051149750298582,0.3356330014758844,-0.31586334187409404,1.0132784349963981,1.0625892814420697,9.17710925130061,0.3259824889988363,0.2522053833974214,0.5102917891879665,0.23750282741461207,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,,,,14,75,False,fixed,,1.0,0.0,0.95,0.7,0.2962024705584754,-0.33798930302693864,0.9740349062279465,0.8763664054032717,0.4115690388269515,-0.31610893127892714,1.0481560677134902,1.3019848479503813,0.34213480421984976,-0.33798930302693864,1.0098451140515237,1.0122651845954447,9.17710925130061,0.3348181321558685,0.2522053833974214,0.5102917891879665,0.23750282741461207,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,,,,14,75,False,fixed,,1.0,0.0,0.95,1.0,0.30246269568231154,-0.3325678016726661,0.9783504501657406,0.9094767868719117,0.4247762560456696,-0.3061110166054173,1.0532744250348278,1.3876542594127346,0.35088528412557896,-0.3325678016726661,1.0139982391085094,1.055078941379124,9.17710925130061,0.34241329726297115,0.2522053833974214,0.5102917891879665,0.23750282741461207,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,,,,14,75,False,fixed,,1.0,0.0,1.0,0.7,0.3092915258394371,-0.3553307041652848,0.9730632625859936,0.8704328734157681,0.4281437596580382,-0.331817229346827,1.0467992204043786,1.2902999657396552,0.3567155505784574,-0.3553307041652848,1.0087604490110704,1.003897345196852,9.17710925130061,0.3516809158896687,0.2522053833974214,0.5102917891879665,0.23750282741461207,A-andchain,,,,
