date,state_held,state_signal,w_TECL,w_XLK,w_BIL,ret_gross,cost,ret_net,equity,drawdown,XLK_ret,TECL_ret,BIL_ret
2009-08-21,TECL,TECL,0.75,0.0,0.25,0.032149,0.0,0.032149,1.6756,0.0,0.014646,0.042938,-0.000218
2009-08-24,TECL,TECL,0.75,0.0,0.25,-0.003521,0.0,-0.003521,1.6697,-0.0035,-0.002989,-0.004695,0.0
2009-08-25,TECL,TECL,0.75,0.0,0.25,0.001225,0.0,0.001225,1.6718,-0.0023,0.002498,0.001633,0.0
2009-08-26,TECL,TECL,0.75,0.0,0.25,0.005081,0.0,0.005081,1.6803,0.0,0.004486,0.006702,0.000218
2009-08-27,TECL,TECL,0.75,0.0,0.25,0.010121,0.0,0.010121,1.6973,0.0,0.001985,0.013494,0.0
2009-08-28,TECL,TECL,0.75,0.0,0.25,0.006312,0.0,0.006312,1.708,0.0,0.003454,0.008344,0.000218
2009-08-31,TECL,TECL,0.75,0.0,0.25,-0.019542,0.0,-0.019542,1.6746,-0.0195,-0.012819,-0.026056,0.0
2009-09-01,TECL,TECL,0.75,0.0,0.25,-0.045839,0.0,-0.045839,1.5978,-0.0645,-0.020472,-0.060918,-0.000602
2009-09-02,TECL,TECL,0.75,0.0,0.25,-7e-05,0.0,-7e-05,1.5977,-0.0646,0.002042,-0.000385,0.000873
2009-09-03,TECL,TECL,0.75,0.0,0.25,0.012998,0.0,0.012998,1.6185,-0.0524,0.004571,0.017331,0.0
2009-09-04,TECL,TECL,0.75,0.0,0.25,0.039182,0.0,0.039182,1.6819,-0.0153,0.017733,0.052243,0.0
2009-09-08,TECL,TECL,0.75,0.0,0.25,0.020507,0.0,0.020507,1.7164,0.0,0.007473,0.027343,0.0
2009-09-09,TECL,TECL,0.75,0.0,0.25,0.015333,0.0,0.015333,1.7427,0.0,0.007405,0.020662,-0.000653
2009-09-10,TECL,TECL,0.75,0.0,0.25,0.029777,0.0,0.029777,1.7946,0.0,0.013732,0.039629,0.000218
2009-09-11,TECL,TECL,0.75,0.0,0.25,-0.002406,0.0,-0.002406,1.7903,-0.0024,0.000968,-0.003135,-0.000218
2009-09-14,TECL,TECL,0.75,0.0,0.25,-0.001242,0.0,-0.001242,1.7881,-0.0036,-0.003386,-0.001655,0.0
2009-09-15,TECL,TECL,0.75,0.0,0.25,0.01256,0.0,0.01256,1.8105,0.0,0.006795,0.016747,0.0
2009-09-16,TECL,TECL,0.75,0.0,0.25,0.022627,0.0,0.022627,1.8515,0.0,0.007702,0.03017,0.0
2009-09-17,TECL,TECL,0.75,0.0,0.25,-0.00422,0.0,-0.00422,1.8437,-0.0042,-0.003827,-0.005699,0.000218
2009-09-18,TECL,TECL,0.75,0.0,0.25,0.000781,0.0,0.000781,1.8451,-0.0034,0.006123,0.001114,-0.000218
2009-09-21,TECL,TECL,0.75,0.0,0.25,-0.000791,0.0,-0.000791,1.8437,-0.0042,-0.004308,-0.001272,0.000654
2009-09-22,TECL,TECL,0.75,0.0,0.25,0.008913,0.0,0.008913,1.8601,0.0,0.005285,0.012102,-0.000653
2009-09-23,TECL,TECL,0.75,0.0,0.25,-0.007089,0.0,-0.007089,1.8469,-0.0071,0.0,-0.009597,0.000436
2009-09-24,TECL,TECL,0.75,0.0,0.25,-0.013929,0.0,-0.013929,1.8212,-0.0209,-0.009562,-0.018427,-0.000436
2009-09-25,TECL,TECL,0.75,0.0,0.25,-0.013121,0.0,-0.013121,1.7973,-0.0338,-0.006283,-0.01764,0.000436
