kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max_v,v_xlk,v_tecl,use_credit,rsi_n,rsi_max,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,tecl_w,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_XLK,signal
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.9,,10,30.0,,0.85,1.0,0.2088015491576949,-0.42899140929708124,0.8109490228535237,0.48672664447948777,0.19483635320243753,-0.4499208893717589,0.5938100454091767,0.4330458038400811,0.20674523197602257,-0.4499208893717582,0.7143465686470089,0.45951463214946264,13.110156073286586,0.31627836942447846,0.2847771997285682,0.5776973535399231,0.1375254467315087,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.9,,10,30.0,,1.0,1.0,0.24057616334174114,-0.4702850226440929,0.8187956258926473,0.5115539550656855,0.2050282265759642,-0.47915556077385624,0.5877412647301272,0.4278949121342452,0.23096510959842975,-0.479155560773858,0.7160643703315607,0.4820253139197855,13.110156073286586,0.36900209469715023,0.2847771997285682,0.5776973535399231,0.1375254467315087,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.9,-0.06,10,,,0.8,1.0,0.224401469983893,-0.3743445169764871,0.8687535613301258,0.5994517344513098,0.1874911772113088,-0.40559738395766154,0.5853850016995875,0.46225933555547827,0.21348763108428148,-0.4055973839576612,0.7443825378662218,0.5263535701368495,13.338158787604614,0.30705116493749857,0.2705270300836915,0.5903641710020358,0.1391087989142728,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.9,-0.06,10,,,0.85,1.0,0.23658349547205804,-0.39283234935190026,0.8710056933533543,0.6022505424066436,0.19126914608163426,-0.41475050932593094,0.5822535725633973,0.4611667539420084,0.2226685145737075,-0.4147505093259304,0.7442340339871037,0.5368733963355405,13.338158787604614,0.3249939119792026,0.2705270300836915,0.5903641710020358,0.1391087989142728,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.9,-0.06,10,,,1.0,1.0,0.27177181888640933,-0.44930360918141,0.8756491901766214,0.6048734382115307,0.19908955954574648,-0.4463264709477176,0.5741453365628452,0.44606263017070236,0.24794804927591318,-0.44930360918141,0.7431963367524621,0.5518496718235846,13.338158787604614,0.37916689654674196,0.2705270300836915,0.5903641710020358,0.1391087989142728,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.9,-0.06,10,30.0,,0.8,1.0,0.17555118888309895,-0.4156988369918909,0.7397882022968654,0.4223037768241903,0.17000264221981953,-0.4223148066840471,0.5484976765837903,0.40254956617470966,0.17640048369460426,-0.4223148066840471,0.6552035902218701,0.417699026656618,14.649174394933272,0.2966199517384779,0.2933725401492875,0.5763401945261253,0.1302872653245872,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.9,-0.06,10,30.0,,0.85,1.0,0.18561667674737858,-0.43000476898839557,0.7448222803743298,0.43166190269017174,0.17350991150063222,-0.43255437704135324,0.5465829228804475,0.4011285533334096,0.1842001849594781,-0.43255437704135313,0.6571272178603992,0.4258428413541823,14.649174394933272,0.31405104579694176,0.2933725401492875,0.5763401945261253,0.1302872653245872,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.9,-0.06,10,30.0,,1.0,1.0,0.21449247195436105,-0.47122509922906697,0.756414605179692,0.45518049082121204,0.18072606176510653,-0.46271201437975173,0.5414805103104351,0.39058000689124767,0.2054783617055509,-0.47122509922906697,0.6612461140984356,0.4360513946343633,14.649174394933272,0.36665096394933944,0.2933725401492875,0.5763401945261253,0.1302872653245872,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.9,-0.1,10,,,0.8,1.0,0.2511782862148675,-0.3847730854110478,0.9355005441703336,0.6527958834400727,0.21519559740621208,-0.42378890741483843,0.6477816392640978,0.507789594397197,0.24068831224554144,-0.42378890741483877,0.8100773743646983,0.5679438702484402,11.685139108798914,0.3109876571317553,0.2603483374802081,0.5921737163537661,0.14747794616602578,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.9,-0.1,10,,,0.85,1.0,0.2647692090305438,-0.3985082080825132,0.9368377119947967,0.6644008922790418,0.22002726939780737,-0.4326619039775651,0.6434576195991684,0.5085432005338203,0.25115283319377735,-0.43266190397756443,0.8089631687180628,0.580482891802743,11.685139108798914,0.3290687944857333,0.2603483374802081,0.5921737163537661,0.14747794616602578,XLK
