kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max,abs_vol_max,vix_max,require_slope,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,sizing,target_vol,max_leverage,min_weight,tecl_w,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_XLK
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.95,,10,,,voltarget,0.3,1.0,0.0,1.0,1.0,0.1703168639685393,-0.40698758577068006,0.7333528499074404,0.4184817176819381,0.2628449542799933,-0.2250780729507298,0.9302867017582249,1.1677945827158864,0.20781730945952614,-0.40698758577068006,0.8192675570191031,0.510623214872756,11.685139108798914,0.2553023101848359,0.31124180049762495,0.4202669079393802,0.2684912915629948
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.95,,10,,,voltarget,0.35,1.0,0.0,1.0,1.0,0.1799304953555465,-0.4279027721987526,0.7257312752203815,0.4204938762863921,0.2909139522864135,-0.2284779439843435,0.9338452927561252,1.2732693021184942,0.22404369019661918,-0.4279027721987526,0.816340588875801,0.5235855076268475,10.887129608685818,0.2812268099192877,0.27278896177335443,0.4587197466636508,0.2684912915629948
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.95,,10,,,voltarget,0.4,1.0,0.0,1.0,1.0,0.19172173434295936,-0.4306518418622788,0.7371197495898557,0.4451896304771208,0.30926982150818705,-0.2522407987722025,0.9227883248964489,1.2260896057004924,0.23820738486287318,-0.4306518418622788,0.8196019223837088,0.553132163171036,9.690115358516172,0.30145002314924474,0.2589911784664103,0.4725175299705949,0.2684912915629948
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.95,,10,,,voltarget,0.5,1.0,0.0,1.0,1.0,0.2177899075622236,-0.42672366944470397,0.7840303181054309,0.5103769093606499,0.34028692945838235,-0.31356649852445617,0.9159083879231259,1.0852145591434799,0.2661326785682765,-0.42672366944470397,0.8448386650727682,0.6236651435684252,9.519113322777653,0.3293888308531775,0.25446731508708437,0.47704139334992085,0.2684912915629948
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.95,,10,,,voltarget,0.6,1.0,0.0,1.0,1.0,0.2358816594180606,-0.4205946428780766,0.8188750627352992,0.5608289677775063,0.3676911521925339,-0.36567237477813996,0.9331874483497314,1.0055207271690096,0.2875845471190379,-0.4205946428780766,0.8714296889621858,0.6837570377766412,9.405111965618637,0.3443915719316665,0.2524315765663877,0.4790771318706175,0.2684912915629948
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,,,10,,,voltarget,0.25,1.0,0.0,1.0,1.0,0.14612123813146094,-0.4098419633709155,0.695325499384054,0.3565306903412869,0.1874891598689994,-0.2538014128738173,0.7431714776533657,0.7387238618809957,0.16483028560735646,-0.4098419633709155,0.7254978242882838,0.4021801092588014,12.825152680389051,0.22961568028539595,0.36055191133227776,0.3481112870391314,0.2913368016285908
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,,,10,,,voltarget,0.3,1.0,0.0,1.0,1.0,0.1552575412998789,-0.4589141064790345,0.6752553593249948,0.33831503348431463,0.21409372334972532,-0.2885122191784838,0.758476300746534,0.7420611992079248,0.18055659453784711,-0.4589141064790345,0.7183482107635798,0.393443112749675,10.602126215788283,0.26168160346957803,0.28726532458719745,0.4207192942773128,0.2920153811354897
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,,,10,,,voltarget,0.35,1.0,0.0,1.0,1.0,0.1617442698784981,-0.4844377233657544,0.6625308916541787,0.33388041863201445,0.23539139507850115,-0.318112139777184,0.7644419546820855,0.739963571473182,0.1924346411528941,-0.4844377233657544,0.7123005189527449,0.39723298139522545,9.804116715675185,0.28847666795944815,0.24768152001809546,0.46030309884641485,0.2920153811354897
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,,,10,,,voltarget,0.4,1.0,0.0,1.0,1.0,0.17015124391476832,-0.49329946192665874,0.666963038142749,0.3449248520365618,0.24832994729993585,-0.33691191002827836,0.7571471513080855,0.7370767844897277,0.20250534768627682,-0.49329946192665874,0.7117294383098096,0.4105119979157494,8.550101786926035,0.30950724778022837,0.23320515720425244,0.47477946166025786,0.2920153811354897
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,,,10,,,voltarget,0.5,1.0,0.0,1.0,1.0,0.18955750845184438,-0.5025799328716685,0.6980852694518108,0.37716887614023986,0.2725817350287032,-0.3571949754029039,0.7602546108533892,0.7631174954833566,0.22372531021779163,-0.5025799328716685,0.7301789031779183,0.44515368717461085,8.322099072608006,0.3388263061658094,0.2257407826283646,0.4822438362361457,0.2920153811354897
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,,,10,,,voltarget,0.6,1.0,0.0,1.0,1.0,0.20362032062704838,-0.5092071688392008,0.7230673335969963,0.39987716805170964,0.29459495143053394,-0.36567237477813996,0.7796310520296454,0.8056253951621859,0.24069343566616253,-0.5092071688392008,0.7516038463273864,0.47268273189250704,8.208097715448993,0.35490109850533086,0.22370504410766795,0.48427957475684236,0.2920153811354897
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,False,sym,3,0.9,,10,,,voltarget,0.25,1.0,0.0,1.0,1.0,0.17901627645685547,-0.342699673771364,0.8289660779778132,0.5223707232831748,0.23904045336742197,-0.2069047242944061,0.9673811262626371,1.1553165553981732,0.2046407943403581,-0.342699673771364,0.8920379045262287,0.5971432423273519,16.701198823795522,0.2226632191665636,0.4137073060393576,0.36326622935987335,0.22302646460076905
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,False,sym,3,0.9,,10,,,voltarget,0.3,1.0,0.0,1.0,1.0,0.2014738131126652,-0.3663170265003991,0.8350252531696039,0.549998494575697,0.27563466294997796,-0.22357098706845602,0.9803139234747269,1.2328731315462698,0.23248570172740446,-0.3663170265003991,0.9007534118480431,0.6346571000219428,14.535173037774259,0.254399608535578,0.33340873105632207,0.44356480434290885,0.22302646460076905
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,False,sym,3,0.9,,10,,,voltarget,0.35,1.0,0.0,1.0,1.0,0.22027083490156207,-0.36564564935286425,0.8450932661890548,0.6024161241666818,0.30543483687612283,-0.23947148474098334,0.9809249125110185,1.2754538904975956,0.2553194396430174,-0.36564564935286425,0.907327681315056,0.6982701424039722,13.680162859081655,0.2806647586205808,0.2926939606423886,0.48427957475684236,0.22302646460076905
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,False,sym,3,0.9,,10,,,voltarget,0.4,1.0,0.0,1.0,1.0,0.24069831838655653,-0.3583007695126167,0.8721064746308882,0.6717772856418075,0.3249415353958307,-0.28007613681146715,0.9669475602742741,1.1601900079568888,0.27548952627748635,-0.3583007695126167,0.9184429490522237,0.7688778526828859,12.768152001809545,0.30125232891787707,0.2764080524768152,0.5005654829224158,0.22302646460076905
