kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max,abs_vol_max,vix_max,require_slope,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_n,crash_mom_thr,crash_below_n,crash_vol_min,crash_dd_n,crash_dd,crash_vix_min,crash_slope_n,crash_confirm,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_TECS,pct_XLK
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.2,,,1,0.26745496331451113,-0.3601747014040938,0.8188994860432832,0.742570097988207,0.023873249979242228,-0.7495633562429329,0.2706608025352389,0.03184954251086005,0.1738715616190205,-0.7495633562429327,0.5684733091827053,0.2319637962166722,10.431124180049762,0.4297670657566567,0.2365980547387469,0.5363040036190907,0.015607328658674507,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.2,,,3,0.2910681559730084,-0.3484210901816296,0.8811630874173968,0.8353918984102727,0.16567567108385517,-0.5494788023810742,0.5178757994471966,0.30151421741098555,0.24652796647048092,-0.5494788023810744,0.7206638694980457,0.44865782884106403,9.291110608459624,0.4080440084137685,0.2431576566387695,0.5363040036190907,0.009047726758651889,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.2,,,5,0.30667599529648437,-0.3484210901816289,0.9272732235632773,0.8801878070486974,0.25635433915130945,-0.47537936392103164,0.6813899005346463,0.5392626575896007,0.2916178098933746,-0.4753793639210314,0.8240383327584958,0.613442298984222,8.949106536982583,0.38861887125745587,0.24632436100429767,0.5363040036190907,0.005881022393123728,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.2,,100.0,1,0.26745496331451113,-0.3601747014040938,0.8188994860432832,0.742570097988207,0.17713013365714736,-0.5322262065189338,0.5364363451386213,0.3328098682244163,0.23671787404628852,-0.5322262065189337,0.698998887021814,0.44476929385826364,9.861117394254693,0.40992888168279457,0.24044333861117395,0.5363040036190907,0.011762044786247455,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.2,,100.0,3,0.2910681559730084,-0.3484210901816296,0.8811630874173968,0.8353918984102727,0.24064465732521279,-0.5494788023810743,0.6531314223343059,0.437950756757894,0.27591959161835544,-0.5494788023810746,0.7850228148643901,0.5021478361361784,9.063107894141597,0.39864022172479174,0.2449672019904999,0.5363040036190907,0.007238181406921511,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.2,,100.0,5,0.30667599529648437,-0.3484210901816289,0.9272732235632773,0.8801878070486974,0.3637694376150784,-0.3624371879111824,0.8833246029787344,1.0036758085216755,0.3318506922627211,-0.3624371879111815,0.913073388392911,0.9156088374243874,8.83510517982357,0.3799695896491109,0.24722913368016286,0.5363040036190907,0.0049762497172585385,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.2,25.0,,1,0.26745496331451113,-0.3601747014040938,0.8188994860432832,0.742570097988207,0.023873249979242228,-0.7495633562429329,0.2706608025352389,0.03184954251086005,0.1738715616190205,-0.7495633562429327,0.5684733091827053,0.2319637962166722,10.431124180049762,0.4297670657566567,0.2365980547387469,0.5363040036190907,0.015607328658674507,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.2,25.0,,3,0.2910681559730084,-0.3484210901816296,0.8811630874173968,0.8353918984102727,0.16567567108385517,-0.5494788023810742,0.5178757994471966,0.30151421741098555,0.24652796647048092,-0.5494788023810744,0.7206638694980457,0.44865782884106403,9.291110608459624,0.4080440084137685,0.2431576566387695,0.5363040036190907,0.009047726758651889,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.2,25.0,,5,0.30667599529648437,-0.3484210901816289,0.9272732235632773,0.8801878070486974,0.25635433915130945,-0.47537936392103164,0.6813899005346463,0.5392626575896007,0.2916178098933746,-0.4753793639210314,0.8240383327584958,0.613442298984222,8.949106536982583,0.38861887125745587,0.24632436100429767,0.5363040036190907,0.005881022393123728,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.2,25.0,100.0,1,0.26745496331451113,-0.3601747014040938,0.8188994860432832,0.742570097988207,0.17713013365714736,-0.5322262065189338,0.5364363451386213,0.3328098682244163,0.23671787404628852,-0.5322262065189337,0.698998887021814,0.44476929385826364,9.861117394254693,0.40992888168279457,0.24044333861117395,0.5363040036190907,0.011762044786247455,0.2114906129834879
